Timestamp,eigenvector,pagerank,clustering,triangles,degree,degree_centrality,average_neighbor_degree,node_clique_number,number_of_cliques,nb_of_nodes,nb_of_edges,diameter,assortativity,percolation_limit,Evento,Label,Colector,Categoria
0,0.001381054761557,1.8018667339363554e-05,0.08068406015471401,1.415438394176366,3.184078705538938,5.737388877847339e-05,690.8178581677593,2.212169807921006,3.261901329777649,55498,88355,12,-0.115483684276052,0.9975781623401181,MangoDSL2022_Normal,0,rrc04,origin_hijacks
1,0.001380962288025,1.8018667339363544e-05,0.08073631392416601,1.409978737972539,3.1826732494864682,5.734856387708286e-05,690.8371395448795,2.21204367724963,3.25932466034812,55498,88316,12,-0.115479443904861,0.9975785099917991,MangoDSL2022_Normal,0,rrc04,origin_hijacks
2,0.001380712279223,1.8013149599207454e-05,0.08071153708859001,1.414824822120147,3.183427902368729,5.734459600044546e-05,690.6713192859843,2.212230928577861,3.26295595784923,55515,88364,12,-0.115464581195186,0.9975777565662891,MangoDSL2022_Normal,0,rrc04,origin_hijacks
3,0.0013804307458970002,1.8010229810532443e-05,0.080634248025062,1.41205604783517,3.183776384986672,5.734157709393716e-05,690.5330651410084,2.212070456019018,3.261382465240256,55524,88388,12,-0.115448078938872,0.9975772076608341,MangoDSL2022_Normal,0,rrc04,origin_hijacks
4,0.0013805840884240001,1.8008932430485522e-05,0.080688800599251,1.416726696441435,3.184195360899006,5.734499182197861e-05,690.7810791087117,2.212361331220285,3.263902895836334,55528,88406,12,-0.115466291761199,0.997578203115797,MangoDSL2022_Normal,0,rrc04,origin_hijacks
5,0.001379628800959,1.799596890296567e-05,0.080728459130722,1.424039015260581,3.18489058450907,5.731622337914715e-05,690.3826900552934,2.212496400806219,3.269705585948747,55568,88489,13,-0.11543403859671701,0.997577670960014,MangoDSL2022_Normal,0,rrc04,origin_hijacks
6,0.0013794669310410001,1.799305468089317e-05,0.08088774193051601,1.424078305773971,3.184518775752559,5.730025147100475e-05,690.543897942396,2.212785864656243,3.267628695323605,55577,88493,13,-0.115371462491375,0.9975775534387441,MangoDSL2022_Normal,0,rrc04,origin_hijacks
7,0.001379057065331,1.799046505352163e-05,0.08058007712060901,1.418818026445983,3.184312314473329,5.728829005601126e-05,690.2496706078529,2.212197535306287,3.266906539534047,55585,88500,13,-0.11536090799810501,0.9975767088699931,MangoDSL2022_Normal,0,rrc04,origin_hijacks
8,0.00137898409315,1.7989494135424893e-05,0.08057112343002801,1.419874793120817,3.184428293876376,5.728728468664214e-05,690.284458037708,2.212437936245233,3.266856156004893,55588,88508,13,-0.11537152809197701,0.9975769153745051,MangoDSL2022_Normal,0,rrc04,origin_hijacks
9,0.001379263877706,1.7991112390479103e-05,0.080539555819676,1.420614216577011,3.184354928665239,5.729111814373791e-05,690.2226939328034,2.212241152870482,3.267401903459691,55583,88498,13,-0.115398987204925,0.99757679302749,MangoDSL2022_Normal,0,rrc04,origin_hijacks
10,0.0013791336341220002,1.7989817763146123e-05,0.080631127293195,1.424631658481299,3.184521560796589,5.728999317807701e-05,690.0232026956088,2.213035421951175,3.260816377930091,55587,88509,13,-0.11541607828500201,0.9975766716513701,MangoDSL2022_Normal,0,rrc04,origin_hijacks
11,0.0013790829285180001,1.7988199740969893e-05,0.08065065013528,1.422147071521082,3.184954669736652,5.7292631356454326e-05,690.2685774462836,2.213034249532306,3.262016117426967,55592,88529,13,-0.11534298772730502,0.9975766787417111,MangoDSL2022_Normal,0,rrc04,origin_hijacks
12,0.001379003441199,1.798722906736217e-05,0.080534335267989,1.419336271247414,3.185214497706628,5.729421336307208e-05,690.6059382609255,2.212123392391402,3.268207572623437,55595,88541,13,-0.11536259850907402,0.9975777745405201,MangoDSL2022_Normal,0,rrc04,origin_hijacks
13,0.0013780999994,1.7975266033937294e-05,0.08054566991947201,1.421753666954271,3.185612597066436,5.726326323572176e-05,689.9807789365735,2.212935001438021,3.260281852171412,55632,88611,13,-0.11525762436176001,0.9975751223993851,MangoDSL2022_Normal,0,rrc04,origin_hijacks
14,0.001377927741373,1.797300454717016e-05,0.08050699529589801,1.4178723557217061,3.185032081813117,5.7245624965187774e-05,689.9111647891962,2.21206348065206,3.2678157407573822,55639,88606,13,-0.11529891252665501,0.997575103682612,MangoDSL2022_Normal,0,rrc04,origin_hijacks
15,0.0013780784946400002,1.7971712524486462e-05,0.08073095499740601,1.422245385762809,3.185557931815323,5.7250960278482487e-05,690.1040465858156,2.212533472314577,3.268191866002911,55643,88627,13,-0.11532989167287601,0.9975759622939011,MangoDSL2022_Normal,0,rrc04,origin_hijacks
16,0.001378250103667,1.7957512525365014e-05,0.08069022437798201,1.423994828236392,3.186273277425611,5.721856979178988e-05,690.7423289567571,2.212724693375473,3.270835203907554,55687,88717,13,-0.11561359109303501,0.997579401890689,MangoDSL2022_Normal,0,rrc04,origin_hijacks
17,0.0013775732365290002,1.794977652528225e-05,0.08069795936040301,1.429304805155175,3.186731525192511,5.7202145489005784e-05,690.5602763466712,2.213548491321283,3.264130961569528,55711,88768,13,-0.115569864648944,0.9975793978528551,MangoDSL2022_Normal,0,rrc04,origin_hijacks
18,0.0013770677885450002,1.7949776525282312e-05,0.080569669491172,1.424225018398521,3.185834036366247,5.718603547596927e-05,690.347518653598,2.2130638473551,3.2628744772127583,55711,88743,13,-0.115538271704789,0.9975782922773051,MangoDSL2022_Normal,0,rrc04,origin_hijacks
19,0.001376073148599,1.7934002869440482e-05,0.08053071369726901,1.424515781922525,3.186441893830703,5.714668293604088e-05,689.7192007469297,2.212912482065997,3.26375538020086,55760,88838,13,-0.11549892234509801,0.9975765081202441,MangoDSL2022_Normal,0,rrc04,origin_hijacks
20,0.001376277931995,1.793432450366761e-05,0.080600477601484,1.427052135081332,3.186857727003712,5.7155165662393076e-05,689.8489158456223,2.212647285639986,3.271310461091483,55759,88848,14,-0.115478530462643,0.9975762944972401,MangoDSL2022_Normal,0,rrc04,origin_hijacks
21,0.001375890579193,1.7927251214571294e-05,0.0805512268499,1.421774439325218,3.187178429931339,5.713837271300357e-05,689.7966752574397,2.212419999641455,3.272117746185977,55781,88892,14,-0.11549515194482701,0.997576760827749,MangoDSL2022_Normal,0,rrc04,origin_hijacks
22,0.0013759224267350001,1.7924359204158493e-05,0.08059477824346001,1.422387524645993,3.187417099838681,5.713343311116315e-05,690.0681111964534,2.212582900161319,3.271822907331063,55790,88913,14,-0.11551938034711001,0.9975779947366541,MangoDSL2022_Normal,0,rrc04,origin_hijacks
23,0.001375804010638,1.7925323103948963e-05,0.080624287202221,1.421997956513166,3.187480954344202,5.7137650205144695e-05,689.9690129059392,2.212558481366626,3.272106404717945,55787,88910,14,-0.115506353425619,0.9975778279090721,MangoDSL2022_Normal,0,rrc04,origin_hijacks
24,0.001375954555896,1.792403792726424e-05,0.08063654982040701,1.421698840314746,3.187431664605402,5.7132670095095936e-05,690.0903145393203,2.212489469627717,3.27275008513918,55791,88915,14,-0.115505960005658,0.9975775179938381,MangoDSL2022_Normal,0,rrc04,origin_hijacks
25,0.001375985668131,1.7921789311444872e-05,0.080949374201221,1.4239040825836051,3.188752285028137,5.714917083406163e-05,689.89309335667,2.213018387755833,3.272160292483601,55798,88963,14,-0.11550511003380101,0.9975766294935001,MangoDSL2022_Normal,0,rrc04,origin_hijacks
